Tag,Parent_Tag,Attr_For,Num_Children,Num_Siblings,Depth,X_Percent,Y_Percent,Font_Size,Font_Weight,Is_Text,Nearest_Color,Nearest_Bg_Color,Distance_From_Input,Class
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.7837,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.4286,0.619,0.1633,0.922,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.1429,0.6667,0.1633,0.9397,0.1176,0.0,1.0,grey,black,0.0109,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.3469,0.7695,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.1429,0.7143,0.5306,0.6879,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.2857,0.7143,0.5306,0.7021,0.1176,0.0,1.0,grey,black,0.0041,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.7695,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.8298,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,0.0,0.0,0.1429,0.6667,0.5306,0.8794,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.5306,0.7695,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.2,0.8333,0.5306,0.8509,0.1176,0.0,1.0,grey,black,0.003,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.3469,0.8227,0.1176,0.0,1.0,grey,black,0.0035,LabelCandidate
label,div,0.0,0.0,0.1429,0.6667,0.1633,0.8794,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.8175,0.1176,0.0,1.0,grey,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.1429,0.6667,0.1633,0.9325,0.1176,0.0,1.0,grey,black,0.0117,LabelCandidate
label,div,0.0,0.0,0.1429,0.6667,0.5306,0.8809999999999999,0.1176,0.0,1.0,grey,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.4286,0.619,0.5306,0.8968,0.1176,0.0,1.0,grey,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.8095,0.1176,0.0,1.0,grey,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.8016,0.1176,0.0,1.0,grey,black,0.0038,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.805,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
span,div,0.0,0.0,0.0,0.8824,0.7041,0.9742,0.5,0.0,1.0,grey,black,0.0031,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.8254,0.1176,0.0,1.0,grey,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.3469,0.8532,0.1176,0.0,1.0,grey,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.2857,0.6667,0.1633,0.7063,0.1176,0.0,1.0,grey,black,0.0042,LabelCandidate
label,div,0.0,0.0,0.2857,0.6667,0.1633,0.9007,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.8582,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,0.0,0.0,0.2857,0.6667,0.1633,0.8865,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.2857,0.6667,0.1633,0.727,0.1176,0.0,1.0,grey,black,0.0041,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.3469,0.8582,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.1429,0.6667,0.1633,0.7340000000000001,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.7937,0.1176,0.0,1.0,grey,black,0.0039,LabelCandidate
#text,div,0.0,0.0,1.0,0.5556,0.6739,0.4912,0.0,0.0,1.0,white,black,0.1332,LabelCandidate
td,tr,0.0,0.0,0.1111,0.8889,0.6739,0.7018,0.5417,0.0,1.0,white,black,0.0872,LabelCandidate
td,tr,0.0,0.0,0.1111,0.8889,0.6739,0.9123,0.5417,0.0,1.0,white,black,0.0827,LabelCandidate
#text,h3,0.0,0.0,0.0,0.4839,0.3171,0.7347,0.0,0.4,1.0,black,black,0.033,LabelCandidate
#text,label,0.0,0.0,0.0,0.4839,0.3171,0.6429,0.0,0.4,1.0,black,black,0.0088,LabelCandidate
#text,label,0.0,0.0,0.0,0.5484,0.3171,0.6939,0.0,0.4,1.0,black,black,0.0088,LabelCandidate
